h_over_j,E_0,E_1,E_2,E_3,E_4
0.0,-11.228483208428877,-10.64988487266346,-10.64988487266346,-10.649884872663433,-9.51768798393728
1.0,-11.649884872663424,-11.51768798393726,-11.228483208428871,-10.83653757347982,-10.64988487266345
2.0,-13.836537573479841,-13.617279503296588,-13.517687983937282,-12.866198262509037,-12.649884872663414
3.0,-17.86619826250899,-17.645751311064565,-17.61727950329655,-17.000000000000004,-16.83653757347981
4.0,-24.0,-24.0,-23.645751311064586,-23.00000000000001,-23.000000000000007
5.0,-32.0,-31.000000000000004,-30.0,-30.0,-29.99999999999999
6.0,-40.0,-38.0,-37.00000000000002,-37.00000000000001,-37.0
7.0,-48.0,-45.0,-44.00000000000002,-44.00000000000001,-44.0
8.0,-56.0,-52.00000000000001,-50.99999999999999,-50.99999999999999,-50.99999999999997
9.0,-64.0,-59.00000000000001,-58.00000000000001,-57.99999999999999,-57.999999999999986
10.0,-72.0,-66.0,-65.00000000000003,-65.0,-64.99999999999999
